"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.000200112641972446,2.07992871656419e-05,9.62112981943963,2.74678617134496e-19
"pa_type1",2.72533237863584e-05,2.19827886271118e-05,1.23975735056408,0.216027631681962
"NDVImean_5",-1.53328704358594e-05,1.09550242624992e-05,-1.39961994318408,0.162653505898847
"Dist_water",-1.31113045134842e-05,9.53181002654139e-06,-1.37553145488377,0.169986122231997
"Prob_fogo",-5.63434937738074e-05,3.96008292167929e-05,-1.42278570646482,0.155830403417582
