"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,8.19602824997574e-06,NA
"pa_type",1,2.12996036129118e-08,305,8.17472864636283e-06,0.372495013849634
"NDVImean_5",1,1.01699028660258e-09,304,8.17371165607622e-06,0.845494796748438
"Dist_water",1,2.20030560373762e-08,303,8.15170860003885e-06,0.364715370563778
"Prob_fogo",1,6.42535672642228e-08,302,8.08745503277463e-06,0.121395807723209
