"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,1.38250011733279e-05,NA
"pa_type",1,6.9877880943428e-09,305,1.38180133852335e-05,0.693916383109091
"NDVImean_5",1,2.662465137723e-08,304,1.37913887338563e-05,0.442375611420311
"Dist_water",1,1.52834631402041e-07,303,1.36385541024542e-05,0.06569454445283
"Prob_fogo",1,1.47361049147479e-08,302,1.36238179975395e-05,0.567660254686004
