"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.000158500014352403,2.78126663791047e-05,5.69884282908893,2.86650651309596e-08
"pa_type1",3.88239217450711e-05,3.00642677533678e-05,1.29136428878172,0.197564909914485
"NDVImean_5",-1.61862281725569e-05,1.58120267613962e-05,-1.02366561964557,0.306812507771813
"Dist_water",-2.10582032609256e-05,1.24178617036082e-05,-1.69579946721478,0.0909544406753803
"Prob_fogo",3.05759548291848e-05,5.35011429933425e-05,0.571500964624056,0.568085188311605
