"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,6.19088945297655e-05,NA
"pa_type",1,8.73595488696714e-07,305,6.10352990410688e-05,0.0249681646258249
"NDVImean_5",1,4.80451198249778e-07,304,6.0554847842819e-05,0.0963948888969609
"Dist_water",1,6.3805571497673e-06,303,5.41742906930517e-05,1.37108129876367e-09
"Prob_fogo",1,1.68797445999224e-06,302,5.24863162330595e-05,0.00183119205517662
