"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.000575422188663438,5.50276185277087e-05,10.4569705914802,4.79522370615913e-22
"pa_type1",0.000228440789476344,6.08730101420842e-05,3.75274343987816,0.000209723511221666
"NDVImean_5",-7.33074926422805e-05,3.07239158202697e-05,-2.38600746959204,0.0176483697140558
"Dist_water",-0.000121603048812556,2.4934996080013e-05,-4.87680240343124,1.74647597955407e-06
"Prob_fogo",0.000265284101112746,0.000103333274299394,2.56726696130931,0.0107317577352244
