"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,1.18437866785006e-05,NA
"pa_type",1,1.34783345887687e-08,305,1.18303083439118e-05,0.999907368610832
"NDVImean_5",1,9.90539596750463e-09,304,1.18204029479443e-05,0.999920589856409
"Dist_water",1,1.3710700201191e-07,303,1.16832959459324e-05,0.99970455960936
"Prob_fogo",1,4.75130686427484e-09,302,1.16785446390681e-05,0.999945002037405
