"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,6.35216065434933e-05,NA
"pa_type",1,6.83547087978036e-07,305,6.28380594555152e-05,0.99934033380229
"NDVImean_5",1,2.80214260762917e-07,304,6.25578451947523e-05,0.999577637688425
"Dist_water",1,5.57842140540419e-06,303,5.69794237893481e-05,0.998115503578757
"Prob_fogo",1,7.41896520629698e-07,302,5.62375272687184e-05,0.999312754863762
