,mean,sd,2.50%,97.50%,Rhat
Nsite.large[349],0.6922962963,0.7165790932,0,2,1.000159467
Nsite.large[350],1.254740741,0.4964369206,1,2,1.000715024
Nsite.large[351],1.216148148,0.4535769419,1,2,1.000024634
Nsite.large[352],0.6525185185,0.732233137,0,2,1.000016874
Nsite.large[353],0.9936666667,0.8086241372,0,3,1.000126189
Nsite.large[354],1.288407407,0.5270269259,1,3,1.000381124
Nsite.large[355],0.6910740741,0.7644129478,0,2,0.9999945098
Nsite.large[356],1.335074074,0.5607501356,1,3,1.000031475
Nsite.large[357],0.343962963,0.564208206,0,2,0.9999513799
Nsite.large[358],0.4132222222,0.6240568918,0,2,0.9999948077
Nsite.large[359],1.343666667,0.5664848697,1,3,1.000386914
Nsite.large[360],1.347777778,0.578654298,1,3,1.00012922
Nsite.large[361],1.287333333,0.5217896647,1,3,1.000765245
Nsite.large[362],1.287,0.522575888,1,3,1.00033446
Nsite.large[363],1.403740741,0.6118035417,1,3,1.000033499
Nsite.large[364],1.174777778,0.8795410684,0,3,1.000005071
Nsite.large[365],1.285518519,0.5176945241,1,3,1.001033406
Nsite.large[366],0.3786666667,0.5974907095,0,2,1.000043857
Nsite.large[367],0.3887407407,0.6106508392,0,2,1.000039433
Nsite.large[368],1.332333333,0.9245184479,0,3,1.000200872
Nsite.large[369],0.8161851852,0.8376649369,0,3,1.000014794
Nsite.large[370],1.346444444,0.5750906336,1,3,1.000114731
Nsite.large[371],1.238555556,0.4806898873,1,2,1.001004279
Nsite.large[372],1.328925926,0.5573123152,1,3,1.000052273
Nsite.large[373],1.277037037,0.9368710866,0,3,1.000174248
Nsite.large[374],1.352703704,0.5716943454,1,3,1.00002824
Nsite.large[375],1.237888889,0.4796321783,1,2,1.000020774
Nsite.large[376],2.216555556,0.4558674061,2,3,1.000075934
Nsite.large[377],0.4528518519,0.6492845629,0,2,1.000080189
Nsite.large[378],0.449037037,0.6496237365,0,2,1.000128533
Nsite.large[379],1.259666667,0.5032019774,1,3,1.000410109
Nsite.large[380],1.502703704,0.6770376927,1,3,0.9999713131
Nsite.large[381],1.37662963,0.5934021628,1,3,1.0000112
Nsite.large[382],0.7225925926,0.7968654683,0,3,1.000009518
Nsite.large[383],1.311259259,0.5464523901,1,3,1.000059887
Nsite.large[384],1.303148148,0.9472500098,0,3,0.9999886609
Nsite.large[385],1.310074074,0.544275124,1,3,0.9999689246
Nsite.large[386],0.4350740741,0.6378956075,0,2,1.000501749
Nsite.large[387],0.4018888889,0.6150122524,0,2,1.000174162
Nsite.large[388],0.3602962963,0.5859901723,0,2,1.0001887
Nsite.large[389],0.5522222222,0.707914721,0,2,0.999964512
Nsite.large[390],2.085592593,0.2919462629,2,3,1.000969984
Nsite.large[391],0.4172592593,0.6244270587,0,2,1.000012168
Nsite.large[392],1.306925926,0.5436434153,1,3,1.000022196
Nsite.large[393],0.7052962963,0.7314768847,0,2,0.9999597723
Nsite.large[394],1.243037037,0.4833304433,1,2,1.000210738
Nsite.large[395],1.294962963,0.5328886665,1,3,1.000278899
Nsite.large[396],1.331888889,0.5639563193,1,3,1.000093009
Nsite.large[397],1.334592593,0.5640990433,1,3,1.000232587
Nsite.large[398],0.3844814815,0.5975274604,0,2,1.000308247
Nsite.large[399],0.4193703704,0.6258286642,0,2,1.000151316
Nsite.large[400],1.364851852,0.5856679445,1,3,1.000203334
Nsite.large[401],0.4360740741,0.6439484256,0,2,1.000290999
Nsite.large[402],0.5375185185,0.70175669,0,2,1.00002336
Nsite.large[403],1.230888889,0.9235096409,0,3,1.000018706
Nsite.large[404],1.376740741,0.5968481851,1,3,1.000747157
Nsite.large[405],1.369555556,0.5884984344,1,3,0.9999693784
Nsite.large[406],1.389814815,0.6024813523,1,3,1.000627385
Nsite.large[407],1.428,0.6241563661,1,3,1.000016759
Nsite.large[408],1.401444444,0.6110136388,1,3,1.000022433
Nsite.large[409],0.477962963,0.6736122007,0,2,1.000338319
Nsite.large[410],0.4987777778,0.6823278575,0,2,1.000148749
Nsite.large[411],0.5638888889,0.7189062807,0,2,1.000276632
Nsite.large[412],0.9145185185,0.8581946002,0,3,0.9999851298
Nsite.large[413],2.259666667,0.4972786791,2,4,1.000159012
Nsite.large[414],1.281703704,0.5220200839,1,3,1.00091426
Nsite.large[415],0.4112962963,0.6208697636,0,2,1.000204052
Nsite.large[416],1.322074074,0.5566285312,1,3,1.000205484
Nsite.large[417],0.5260740741,0.69634306,0,2,1.000405989
Nsite.large[418],0.5357037037,0.7018513672,0,2,1.000171459
Nsite.large[419],0.593,0.737589192,0,2,1.000267428
Nsite.large[420],0.7571481481,0.8093727679,0,3,1.00005392
Nsite.large[421],1.576222222,0.7116397626,1,3,0.9999628354
Nsite.large[422],0.9633333333,0.8843596154,0,3,1.000091109
Nsite.large[423],1.067407407,0.906522462,0,3,1.000262151
Nsite.large[424],2.279851852,0.5119209093,2,4,1.00014836
Nsite.large[425],1.270074074,0.5098612669,1,3,1.000390987
Nsite.large[426],1.335851852,0.5644667766,1,3,1.000010844
Nsite.large[427],1.321222222,0.5502639924,1,3,1.000193973
Nsite.large[428],0.4397777778,0.6434424975,0,2,1.00010992
Nsite.large[429],1.382259259,0.593235139,1,3,1.000237732
Nsite.large[430],1.282592593,0.5212552593,1,3,1.000444162
Nsite.large[431],0.475,0.6635361298,0,2,1.000300952
Nsite.large[432],0.6428888889,0.7496492177,0,2,1.000045443
Nsite.large[433],0.5472962963,0.7053263,0,2,0.9999959254
Nsite.large[434],1.266185185,0.5065564088,1,3,1.000068792
Nsite.large[435],0.4441481481,0.6507032897,0,2,1.000014864
Nsite.large[436],0.4481851852,0.6427926414,0,2,0.9999888882
Nsite.large[437],0.4015185185,0.6217217515,0,2,1.000317441
Nsite.large[438],0.6604444444,0.7716636701,0,2,1.000120514
Nsite.large[439],0.4696666667,0.6567481145,0,2,0.9999757181
Nsite.large[440],0.4861111111,0.6732795625,0,2,1.000120646
Nsite.large[441],0.5931851852,0.7301465908,0,2,0.9999986702
Nsite.large[442],0.4188518519,0.6220215346,0,2,1.000302935
Nsite.large[443],0.5817407407,0.7250063555,0,2,1.000021366
Nsite.large[444],1.358296296,0.582401822,1,3,1.000076632
Nsite.large[445],0.5662962963,0.7239258633,0,2,1.000049667
Nsite.large[446],0.6687407407,0.7736353744,0,2,1.00030382
Nsite.large[447],0.6335555556,0.7512696185,0,2,0.9999837567
Nsite.large[448],1.399,0.6141223833,1,3,1.000102784
Nsite.large[449],1.542851852,0.6952991322,1,3,1.000084395
Nsite.large[450],0.6467777778,0.7509224833,0,2,0.9999732507
Nsite.large[451],0.5381111111,0.6937622865,0,2,1.000170769
Nsite.large[452],0.5732222222,0.7158458375,0,2,1.000160211
Nsite.large[453],0.7361481481,0.7994664553,0,3,0.9999869982
Nsite.large[454],2.815666667,1.131122884,1,5,1.000546816
Nsite.large[455],4.831185185,1.057244144,3,7,1.000248804
Nsite.large[456],4.40462963,1.00446098,3,6,1.000157432
Nsite.large[457],3.942888889,1.261209374,2,6,1.000338148
Nsite.large[458],5.78862963,0.7457351684,5,7,1.000098565
Nsite.large[459],3.559185185,1.236945942,1,6,1.000334456
Nsite.large[460],4.632148148,1.135354153,3,7,1.000313968
Nsite.large[461],2.492407407,1.233212672,0,5,1.000306834
Nsite.large[462],5.56437037,0.9709687235,4,7,1.0003024
Nsite.large[463],5.712407407,0.7384766318,5,7,1.000089051
Nsite.large[464],4.870518519,1.20195485,3,7,1.000405617
Nsite.large[465],5.244962963,0.9062874272,4,7,1.000318331
Nsite.large[466],2.929148148,1.140804814,1,5,1.000767823
Nsite.large[467],3.333037037,1.202386157,1,6,0.9999789242
Nsite.large[468],3.99737037,1.072518041,2,6,1.000090619
Nsite.large[469],4.549259259,1.224865608,2,7,0.9999875994
Nsite.large[470],4.811555556,1.081192134,3,7,0.9999807486
Nsite.large[471],3.427148148,1.02371416,2,6,1.00003407
Nsite.large[472],3.471555556,1.160419803,1,6,1.000101913
Nsite.large[473],6.156851852,0.8109754092,5,8,1.000332441
Nsite.large[474],4.41562963,1.095732546,2,7,1.000061898
Nsite.large[475],3.727740741,1.038636944,2,6,1.000148348
Nsite.large[476],4.246814815,1.018718583,2,6,1.000115343
Nsite.large[477],4.191259259,0.9791775834,3,6,1.000126009
Nsite.large[478],3.990185185,0.9607736497,2,6,1.000145323
Nsite.large[479],4.455185185,1.208384815,2,7,1.000131671
Nsite.large[480],4.543259259,1.279888758,2,7,1.000071182
Nsite.large[481],3.96737037,1.054643446,2,6,1.00031998
Nsite.large[482],3.988592593,1.055419882,2,6,1.00020998
Nsite.large[483],4.12237037,1.169156949,2,6,1.000153692
Nsite.large[484],3.605296296,1.165459708,1,6,1.000186402
Nsite.large[485],3.982518519,1.105289813,2,6,0.9999994831
Nsite.large[486],3.89137037,1.02922928,2,6,1.000228524
Nsite.large[487],3.370444444,1.147721284,1,6,0.9999492311
Nsite.large[488],3.938259259,1.097358485,2,6,1.00002317
Nsite.large[489],3.007444444,1.063478476,1,5,1.000154321
Nsite.large[490],3.102740741,1.053074971,1,5,1.000027245
Nsite.large[491],3.266777778,1.064973201,1,5,1.000193711
Nsite.large[492],3.789814815,0.7930911878,3,6,1.000174955
Nsite.large[493],3.081037037,0.9208598829,2,5,1.000004384
Nsite.large[494],2.954148148,1.131084612,1,5,1.000002647
Nsite.large[495],3.443222222,1.132323763,1,6,1.000143073
Nsite.large[496],3.538148148,1.149203075,1,6,1.000551987
Nsite.large[497],3.632185185,1.111246646,2,6,0.9999590944
Nsite.large[498],5.207592593,0.8629876671,4,7,1.000133759
Nsite.large[499],3.627111111,1.285984396,1,6,1.000860364
Nsite.large[500],3.849259259,1.143124243,2,6,1.00038267
Nsite.large[501],4.560222222,1.049853268,3,7,1.000160203
Nsite.small[1],2.50462963,1.159545981,1,5,1.001677811
Nsite.small[2],1.719185185,1.238643169,0,4,1.001569597
Nsite.small[3],1.694296296,1.228613056,0,4,1.001773964
Nsite.small[4],3.207851852,1.061038297,2,6,1.001120633
Nsite.small[5],2.557333333,1.461016675,0,6,1.001112871
Nsite.small[6],3.393666667,1.114316909,2,6,1.002200373
Nsite.small[7],1.683777778,1.225494556,0,4,1.002802145
Nsite.small[8],1.724037037,1.22804132,0,4,1.002017608
Nsite.small[9],2.435777778,1.136530301,1,5,1.001757148
Nsite.small[10],1.868259259,1.261891446,0,5,1.001111975
Nsite.small[11],2.624074074,1.183525064,1,5,1.002153081
Nsite.small[12],2.837925926,1.514877561,0,6,1.000908246
Nsite.small[13],1.856259259,1.27985503,0,5,1.001587311
Nsite.small[14],1.828851852,1.257241323,0,5,1.002052213
Nsite.small[15],2.764888889,1.251888675,1,6,1.000531733
Nsite.small[16],2.613518519,1.205166627,1,5,1.001630662
Nsite.small[17],2.773740741,1.253119847,1,5,1.00131908
Nsite.small[18],1.676888889,1.214093972,0,4,1.001402335
Nsite.small[19],1.688259259,1.208067597,0,4,1.001924297
Nsite.small[20],2.850851852,1.266754165,1,6,1.002167152
Nsite.small[21],2.641703704,1.471054115,0,6,1.001099884
Nsite.small[22],2.097296296,1.327224396,0,5,1.000752469
Nsite.small[23],2.553407407,1.166608689,1,5,1.001482072
Nsite.small[24],2.114666667,1.341071855,0,5,1.001240505
Nsite.small[25],2.668333333,1.217532529,1,5,1.001977497
Nsite.small[26],2.62762963,1.452893654,0,6,1.00163347
Nsite.small[27],1.991074074,1.308951548,0,5,1.000882442
Nsite.small[28],2.702555556,1.491884831,0,6,1.000866659
Nsite.small[29],1.888185185,1.280466794,0,5,1.001391874
Nsite.small[30],2.753777778,1.50460255,0,6,1.00121691
Nsite.small[31],2.002814815,1.303407002,0,5,1.000815728
Nsite.small[32],2.252481481,1.369559397,0,5,1.001309001
Nsite.small[33],3.291148148,1.383342678,1,6,1.000640714
Nsite.small[34],2.104444444,1.347827928,0,5,1.000700555
Nsite.small[35],2.745407407,1.241019155,1,5,1.001364115
Nsite.small[36],2.033777778,1.328030543,0,5,1.00141847
Nsite.small[37],1.989518519,1.305114399,0,5,1.000933094
Nsite.small[38],1.830333333,1.263202173,0,5,1.000769545
Nsite.small[39],1.347296296,1.071094108,0,4,1.000545737
Nsite.small[40],2.671,1.159435324,1,5,1.000563229
Nsite.small[41],3.073111111,0.9792029545,2,5,1.000440727
Nsite.small[42],2.616074074,1.14078474,1,5,1.000614395
Nsite.small[43],1.509444444,1.123236945,0,4,1.000723016
Nsite.small[44],1.559592593,1.145578099,0,4,1.000378386
Nsite.small[45],1.77237037,1.192389603,0,4,1.000188724
Nsite.small[46],2.619074074,1.371523321,0,5,1.000155523
Nsite.small[47],3.179481481,1.015240593,2,5,1.000702502
Nsite.small[48],1.753185185,1.195588426,0,4,1.000239251
Nsite.small[49],2.066814815,1.263021968,0,5,1.000693305
Nsite.small[50],2.434777778,1.133601745,1,5,1.000137171
