FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
162;163;170;OCCP57;-0,842279;-0,446976;0,990292;-0,01584;0,440803;-0,241725;-0,436975;-0,171954;1,005377;1,14206;1,099773;-0,276328;-0,270365;-0,384121;-44,237479;-15,068704;CP;CP;1;2014;Caa;trophycam;B131000482;B;A;0;N;N;other;MJ;MJ TSD;CER;NCF;0,533800006
163;164;171;OCCP58;-0,666342;-0,802324;0,737847;-0,165517;0,270128;-0,338074;-0,436975;-0,171954;1,626778;1,873902;2,158904;-0,276328;-0,270365;-2,467321;-44,264564;-15,109189;CP;CP;1;2014;Caa;trophycam;B100826313;A;A;1;carreiro;carreiro;GBF;GBF;GBF TSD;DF;Y;0,809629977
164;165;172;OCCP59;-0,742562;-1,310357;-0,530161;-0,917328;-0,587153;0,073574;-0,436975;-0,171954;2,465349;2,157092;2,074067;-0,276328;-0,270365;-0,096783;-44,250425;-15,135745;CP;CP;1;2014;Caa;trophycam;B100815579;A;A;1;trail;trail;GBF;GBF;GBF MSP;DF;NCF;0,177658007
165;166;173;OCCP60;-0,6586;-0,425371;-1,148613;-1,284013;-1,005279;-0,988042;-0,39657;-0,171954;1,590745;1,819368;1,900818;-0,276328;-0,270365;-0,384121;-44,264941;-15,082112;CP;CP;1;2014;Caa;trophycam;B110404563;A;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;DF;Y;0,546064019
166;167;174;OCGB01;1,178034;-0,924966;-0,122023;0,76863;-0,311216;-0,622747;0,589797;-0,171954;-0,817576;-0,917736;-0,797701;-0,276328;-0,270365;0,046886;-44,807338;-14,598076;GB;GB;0;2017;Cer;trophycam;B121000631;B;A;1;trail;trail;other;MJ;MJ MSP;CER SS;Y;0,793502986
167;168;175;OCGB02;1,107278;-1,140543;0,349594;1,389053;0,007637;-0,459355;-0,436975;-0,171954;-0,044358;-0,566354;-0,696385;-0,276328;-0,270365;-3,113832;-44,80167;-14,610767;GB;GB;0;2017;Cer;agressor;B150801807;D;D;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,532000005
168;169;176;OCGB03;1,035141;-1,25609;-0,271723;1,806649;-0,412426;-0,656339;-0,209695;-0,171954;-0,024212;-0,423569;-0,549148;-0,276328;-0,270365;0,046886;-44,788994;-14,604666;GB;GB;0;2017;Cer;trophycam;B121000676;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,709797978
169;170;177;OCGB04;0,965449;-1,330434;0,311226;2,324386;-0,018304;-0,589047;-0,223064;-0,171954;-0,038085;-0,483366;-0,535448;0,834155;0,781308;0,046886;-44,776611;-14,599082;GB;GB;0;2017;Cer;agressor;B150801764;D;D;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,307267994
170;171;178;OCGB05;1,326007;-0,573085;0,264635;-0,297049;-0,049803;-0,681685;0,229714;-0,171954;-1,032447;-1,11701;-0,878373;-0,276328;-0,270365;0,046886;-44,826252;-14,591033;GB;GB;0;2017;Cer;trophycam;B100815620;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,418246001
171;172;179;OCGB06;1,371188;-1,124959;-0,551375;0,753581;-0,601495;-0,387579;-0,436975;-0,171954;-0,396451;0,218659;-0,396349;-0,054231;-0,067679;0,190555;-44,853298;-14,66551;GB;GB;0;2017;Cer;trophycam;B12100673;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,775088012
