FID;Index;ID;Sampling_s;Dist_city;Dist_road;Dist_water;Dist_wat_1;Dist_wat_2;Dist_humse;HDens_2km;HDens_500m;NDVImean_5;NDVImean_6;NDVImean_2;cattle_num;cattle_fre;effort_day;xcoord;ycoord;PA;survey_are;pa_type;year;Biome;CTmodel;CTnumber;CTcode;CTcode2;trail;trail_type;trail_ty_1;team;team2;team3;veg_field;cattle_fie;Prob_fogo
211;212;222;OCGB49;1,635942;-0,331667;-1,077986;-1,242138;-0,957529;-0,837828;1,176715;2,526336;0,934986;0,502734;0,025156;0,538026;0,515693;-0,024949;-44,883421;-14,633562;GB;GB;0;2017;Cer;trophycam;B140926276;C;C;1;carreiro;carreiro;GBF;GBF;GBF PH;VER;Y;0,094993502
212;213;223;OCGB50;1,721126;-0,238661;-0,758466;-1,052692;-0,741506;-0,814936;0,063042;-0,171954;-0,185259;-0,302923;-0,088834;0,241898;0,229854;-0,024949;-44,896672;-14,639305;GB;GB;0;2017;Cer;trophycam;B120520985;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER RALO;Y;0,616809011
213;214;224;OCGB51;1,801968;-0,134561;-1,062578;-1,233002;-0,947111;-0,822781;-0,051935;0,621549;0,25791;0,168332;-0,08285;4,683828;4,517446;-0,024949;-44,909269;-14,645527;GB;GB;0;2017;Cer;trophycam;B110307278;A;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,680203974
214;215;225;OCGB52;1,863589;0,093301;-0,123207;-0,676042;-0,312017;-0,690251;0,204758;-0,171954;-0,253883;-0,404146;-0,256932;-0,276328;-0,270365;-0,024949;-44,915054;-14,632479;GB;GB;0;2017;Cer;trophycam;B120101919;B;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER DENSO;Y;0,536345005
215;216;226;OCGB53;1,927978;0,323867;-1,266295;-1,353787;-1,084841;-0,91887;1,994924;-0,171954;0,57025;-0,11637;-0,23718;-0,276328;-0,270365;-0,024949;-44,921092;-14,61993;GB;GB;0;2017;Cer;agressor;B151106797;D;D;1;carreiro;carreiro;GBF;GBF;GBF PH;CER denso;Y;-9999
216;217;227;OCGB54;1,403041;-0,451405;-0,024526;-0,365022;-0,2453;-0,776509;3,313149;0,120087;-0,900192;-0,906898;-0,809584;-0,202296;-0,197504;-0,096783;-44,84568;-14,615685;GB;GB;0;2017;Cer;trophycam;B120100171;B;A;1;trail;estrada;GBF;GBF;GBF PH;CER RALO;Y;0,781934023
217;218;228;OCGB55;1,131597;-0,633731;1,23429;1,066081;0,605766;-0,859546;0,290322;-0,171954;0,407942;-0,211398;-0,620757;-0,276328;-0,270365;-0,455955;-44,781118;-14,554748;GB;GB;0;2017;Cer;trophycam;B100826313;A;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER RALO;Y;0,467307001
218;219;229;OCGB56;1,050664;-0,884596;1,257899;1,652964;0,621728;-0,966192;0,222138;-0,153323;-0,810728;-0,928645;-0,669477;-0,276328;-0,270365;-0,024949;-44,775271;-14,56765;GB;GB;0;2017;Cer;agressor;B150801752;D;D;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,65763998
219;220;230;OCGB57;0,899469;-1,36462;0,991066;2,246749;0,441326;-0,437018;-0,436975;-0,171954;-0,11003;-0,531727;-0,535006;-0,202296;-0,198905;-0,024949;-44,763865;-14,592011;GB;GB;0;2017;Cer;agressor;B151106854;D;D;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;N;0,239905
220;221;231;OCGB58;0,973708;-1,127721;1,220956;2,279965;0,596751;-0,625882;-0,277879;-0,171954;-0,411276;-0,5512;-0,709207;0,389962;0,372774;-0,024949;-44,769617;-14,580152;GB;GB;0;2017;Cer;trophycam;B100825112;A;A;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,551899016
221;222;232;OCGB59;1,577775;-0,565718;-0,352144;-0,811781;-0,466798;-0,691726;1,167356;-0,171954;-0,640043;-0,393006;-0,25472;-0,202296;-0,197504;-0,096783;-44,878185;-14,646287;GB;GB;0;2017;Cer;trophycam;B140711140;C;C;1;carreiro;carreiro;GBF;GBF;GBF PH;CER SS;Y;0,66979897
222;223;233;OCGB60;1,481792;-1,129435;-0,384561;1,296145;-0,488714;-0,679733;-0,346063;-0,171954;0,581788;-0,510933;-0,560769;-0,276328;-0,270365;-2,682825;-44,87236;-14,690271;GB;GB;0;2017;Cer;trophycam;B12XXXX027;B;A;1;trail;trail;GBF;GBF;GBF PH;CER SS;Y;0,509343028
223;332;345;OCPD01;-0,585364;-1,39252;0,485248;0,630316;0,09935;-0,225693;-0,436975;-0,171954;-1,510825;-1,546618;-1,426959;0,019801;-0,063925;1,411741;-44,902378;-15,43185;PD;VPD;0;2015;Cer;trophycam;B121000651;B;A;1;trail;trail;other;MJ;MJ MSP;CER RALO;Y;0,785377979
224;333;346;OCPD02;-0,670464;-1,383948;0,819167;0,095923;0,325108;-0,366712;-0,436975;-0,171954;-1,241328;-1,242043;-1,296312;-0,128263;-0,167145;1,411741;-44,888417;-15,430962;PD;VPD;0;2015;Cer;trophycam;B121018018;B;A;0;N;N;other;MJ;MJ MSP;CER RALO;Y;0,817259014
225;334;347;OCPD03;-0,677538;-1,638542;0,16958;-0,502446;-0,114068;-0,839809;-0,232423;-0,018683;-1,178002;-1,174088;-1,115979;2,907056;1,948861;1,411741;-44,874795;-15,444617;PD;VPD;0;2015;Cer;trophycam;B121000670;B;A;1;trail;trail;other;MJ;MJ MSP;CER RALO;Y;0,597783983
226;335;348;OCPD04;-0,749629;-1,398967;0,661045;-0,211053;0,218204;-0,602734;-0,415584;-0,171954;-1,045851;-1,044229;-1,083996;-0,202296;-0,161074;-1,317969;-44,873894;-15,431342;PD;VPD;0;2015;Cer;trophycam;B120101919;B;A;1;trail;trail;other;MJ;MJ MSP;CER RALO;Y;0,593087971
227;336;349;OCPD05;-0,752653;-1,640765;-0,257863;-0,75588;-0,403056;-0,956036;-0,232423;-0,078012;-1,102671;-1,15628;-0,839733;0,241898;0,090904;1,411741;-44,860101;-15,444291;PD;VPD;0;2015;Cer;trophycam;B120520985;B;A;0;N;N;other;MJ;MJ MSP;CER RALO;Y;0,688983023
228;337;351;OCPD07;-0,642402;-0,631843;-1,143237;-1,280825;-1,001644;-0,84107;0,754984;0,379866;-1,17632;-0,885525;-1,283305;0,760123;1,730511;-1,892645;-44,91697;-15,390207;PD;VPD;0;2015;Cer;trophycam;B110307081;A;A;1;trail;trail;other;MJ;MJ MSP;MC;Y;0,620603979
229;338;352;OCPD08;-0,742506;-0,649363;-1,128391;-1,272023;-0,991607;-0,8717;0,24754;0,033672;-1,804997;-1,535858;-1,371655;0,093833;-0,004943;1,268072;-44,901859;-15,390711;PD;VPD;0;2015;Cer;trophycam;B121091918;B;A;1;Trail;Trail;other;MJ;MJ MSP;MC;Y;0,209150001
230;339;353;OCPD09;-0,787244;-0,900001;-0,500256;-0,888008;-0,566934;-0,869417;0,212397;-0,171954;-1,322974;-1,313222;-1,300316;0,019801;0,131355;-1,102466;-44,887813;-15,404166;PD;VPD;0;2015;Cer;trophycam;B121001275;B;A;1;Trail;Trail;other;MJ;MJ MSP;CER RALO;Y;0,593339026
231;340;354;OCPD10;-0,811416;-1,141212;-0,471098;-0,882309;-0,547221;-0,637695;-0,050599;-0,005234;-0,768223;-0,959882;-1,040665;0,538026;0,30534;1,339907;-44,874872;-15,417103;PD;VPD;0;2015;Cer;trophycam;B121000673;B;A;1;trail;trail;other;MJ;MJ MSP;CER SS;Y;0,557888985
232;341;355;OCPD11;-0,776536;-0,402548;-0,423516;-0,854097;-0,515051;-0,700691;0,290322;-0,171954;-1,816727;-1,700575;-1,398936;-0,276328;-0,270365;-0,455955;-44,902452;-15,377073;PD;VPD;0;2015;Cer;trophycam;B120521018;B;A;1;trail;trail;other;MJ;MJ MSP;CER RALO;Y;0,728861988
233;342;356;OCPD12;-0,833343;-0,643736;-1,04653;-1,223487;-0,936262;-0,834153;0,131226;-0,171954;-1,697472;-1,040183;-1,434395;-0,202296;-0,218028;1,339907;-44,888461;-15,390005;PD;VPD;0;2015;Cer;trophycam;B101028494;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER;Y;0,613695025
234;343;357;OCPD13;-0,874774;-0,396378;0,020604;-0,590775;-0,214789;-0,502577;-0,436975;-0,171954;-1,931568;-1,796766;-1,676511;-0,276328;-0,270365;1,339907;-44,888401;-15,37632;PD;VPD;0;2015;Cer;trophycam;B131000470;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;N;0,856805027
235;344;358;OCPD14;-0,968305;-0,415435;0,528351;-0,289728;0,128492;-0,519725;-0,436975;-0,171954;-1,650769;-1,810577;-1,494712;-0,276328;-0,270365;-0,312286;-44,874284;-15,37695;PD;VPD;0;2015;Cer;trophycam;B140415863;C;C;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;NCF;0,673012972
236;345;359;OCPD15;-0,928132;-0,654568;-0,437245;-0,862238;-0,524334;-0,846674;0,068092;-0,163508;-1,655778;-1,351122;-1,267817;-0,276328;-0,270365;-0,886962;-44,873741;-15,390171;PD;VPD;0;2015;Cer;trophycam;B121000481;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;N;0,565550983
237;346;360;OCPD16;-0,872209;-0,908538;-1,203708;-1,316679;-1,042527;-0,883764;1,017619;0,45541;-1,357879;-1,364684;-1,068639;-0,276328;-0,270365;1,339907;-44,874006;-15,404219;PD;VPD;0;2015;Cer;trophycam;B100815356;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,822564006
238;347;361;OCPD17;-1,010847;-0,663143;0,359255;-0,389986;0,014168;-0,854446;0,896402;-0,160404;-0,802787;-0,811374;-0,985837;0,463994;0,381549;0,334224;-44,860579;-15,390215;PD;VPD;0;2015;Cer;trophycam;B121000478;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,592556
239;348;362;OCPD18;-1,058676;-0,428858;1,008464;-0,005066;0,453088;-0,576742;-0,300607;-0,171954;-1,43559;-1,18035;-1,078686;-0,276328;-0,270365;1,411741;-44,86047;-15,377253;PD;VPD;0;2015;Cer;trophycam;B100817020;A;A;1;trail;trail;other;MJ;MJ MSP;CER SS;N;0,493339002
240;349;363;OCPD19;-1,099524;-0,665218;-0,515736;-0,908775;-0,5774;-0,943924;3,176781;1,635029;-0,200237;-0,377864;-0,610862;-0,276328;-0,270365;-1,317969;-44,84623;-15,389827;PD;VPD;0;2015;Cer;trophycam;B101220533;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,266948014
241;350;364;OCPD20;-0,957833;-0,905712;-0,644776;-0,985284;-0,664642;-0,979396;2,087173;0,467359;-0,945686;-0,817354;-0,743425;0,463994;0,26048;1,268072;-44,860051;-15,403622;PD;VPD;0;2015;Cer;trophycam;B101028533;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,472672999
242;351;365;OCPD21;-1,037503;-0,924147;-0,94428;-1,162862;-0,867132;-0,916843;3,313149;1,507676;-0,359739;-0,333283;-0,519703;0,31593;0,142514;1,411741;-44,845558;-15,404131;PD;VPD;0;2015;Cer;trophycam;B100817126;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,347213
243;352;366;OCPD22;-0,406472;-0,345854;-1,171009;-1,297291;-1,02042;-1,00881;2,557776;0,639385;-1,523028;-0,857383;-1,096296;-0,276328;-0,270365;-1,246135;-44,958642;-15,362809;PD;VPD;0;2015;Cer;trophycam;B100826425;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER/MC;Y;0,179599002
244;353;367;OCPD23;-0,512397;-0,280905;-0,987806;-1,188669;-0,896559;-0,879695;2,750296;-0,171954;-0,120406;-0,675924;-0,978264;-0,276328;-0,270365;-1,246135;-44,943833;-15,363138;PD;VPD;0;2015;Cer;trophycam;B101028490;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,426272005
245;354;368;OCPD24;-0,612502;-0,216953;-0,285914;-0,725444;-0,422021;-0,791058;2,335844;-0,171954;-1,018684;-1,065476;-0,923812;-0,276328;-0,270365;1,268072;-44,929824;-15,363265;PD;VPD;0;2015;Cer;trophycam;B121000453;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER RALO;Y;0,398277014
246;355;369;OCPD25;-0,699329;-0,888966;-0,899558;-0,745219;-0,836896;-0,758727;-0,158891;0,141099;-1,342715;-1,398029;-1,447564;0,389962;0,587153;-0,958797;-44,901777;-15,403966;PD;VPD;0;2015;Cer;trophycam;B131200715;B;A;1;carreiro;carreiro;other;MSP;MSP DB;CER RALO;N;0,598483026
247;356;370;OCPD26;-0,823359;-1,404907;-0,256084;-0,754826;-0,401853;-0,632933;0,375886;-0,171954;-0,85673;-0,848482;-0,79475;0,167865;0,525902;-1,748976;-44,860035;-15,431237;PD;VPD;0;2015;Cer;trophycam;B100826329;A;A;1;carreiro;carreiro;other;MSP;MSP DB;CER RALO;N;0,685763001
248;357;371;OCPD27;-0,893271;-1,409613;-0,943149;-1,162192;-0,866368;-0,947288;0,19941;0,977944;1,058377;-0,194321;-0,451491;-0,276328;-0,270365;1,124403;-44,84612;-15,431019;PD;VPD;0;2015;Cer;trophycam;B140926006;C;C;1;carreiro;carreiro;other;MSP;MSP DB;MC;N;0,261958003
249;358;372;OCPD28;-0,422302;-0,105231;-0,887067;-1,128941;-0,828452;-0,871265;1,616569;-0,171954;-1,29113;-1,275967;-1,23656;-0,276328;-0,270365;1,268072;-44,958675;-15,349001;PD;VPD;0;2015;Cer;trophycam;B130905345;B;A;1;carreiro;carreiro;other;MJ;MJ DB;CER RALO;N;0,545089006
250;359;373;OCPD29;-0,434563;0,121902;-1,189042;-1,307983;-1,032612;-0,546732;-0,436975;-0,171954;-0,028986;-1,24367;-1,764538;-0,202296;-0,217281;1,268072;-44,958227;-15,3361;PD;VPD;0;2015;Cer;trophycam;B100825112;A;A;1;carreiro;carreiro;other;MJ;MJ DB;MC/VER;N;0,064420603
251;360;374;OCPD30;-0,52469;-0,045238;0,176534;-0,498323;-0,109366;-0,653905;0,153954;-0,171954;-1,424184;-1,432596;-1,338317;-0,202296;-0,215719;1,124403;-44,944529;-15,34944;PD;VPD;0;2015;Cer;trophycam;B110304357;A;A;1;carreiro;carreiro;other;MJ;MJ DB;CER RALO;Y;0,599606991
252;361;375;OCPD31;-0,645986;-1,13626;-0,795739;-0,094548;-0,766706;-0,48737;-0,436975;-0,171954;-0,82117;-1,26828;-1,469947;0,538026;0,282;1,55541;-44,902097;-15,417665;PD;VPD;0;2015;Cer;trophycam;B121017980;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,557105005
253;362;376;OCPD32;-0,733019;-1,138194;0,082604;-0,45314;-0,172871;-0,553096;-0,436975;-0,171954;-0,83072;-1,322885;-1,300676;0,167865;0,039294;1,411741;-44,888006;-15,417348;PD;VPD;0;2015;Cer;trophycam;B131200419;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,242952004
254;363;377;OCPD33;-0,514636;-0,931104;-0,404006;-0,360846;-0,501861;-0,458682;-0,436975;-0,171954;-1,484103;-1,833854;-1,81481;-0,054231;-0,115535;1,411741;-44,929873;-15,404181;PD;VPD;0;2015;Cer;trophycam;B120100128;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,836658001
255;364;378;OCPD34;-0,606044;-0,879324;-0,997299;-0,577122;-0,902978;-0,638845;-0,356164;-0,171954;-1,509294;-1,501244;-1,530504;0,760123;1,656405;-1,820811;-44,916182;-15,403886;PD;VPD;0;2015;Cer;trophycam;B120913834;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,781922996
256;365;379;OCPD35;-0,559652;-1,126524;-0,754081;0,151706;-0,738542;-0,317275;-0,436975;-0,171954;-0,880182;-1,295386;-1,540074;-0,128263;-0,168559;1,483576;-44,91597;-15,417556;PD;VPD;0;2015;Cer;trophycam;B131200711;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,584025979
257;366;380;OCPD36;-0,45545;-0,760425;-0,604137;-0,961189;-0,637167;-0,810667;2,75505;-0,171954;-1,326556;-1,342221;-1,342421;1,500445;0,968273;1,411741;-44,944151;-15,390536;PD;VPD;0;2015;Cer;trophycam;B120100171;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER RALO;Y;0,601611018
258;367;381;OCPD37;-0,807407;-0,14205;-0,450926;-0,084342;-0,533583;-0,873505;0,24754;-0,132015;-1,147684;-1,320954;-1,393129;0,019801;0,101226;-0,886962;-44,902587;-15,362664;PD;VPD;0;2015;Cer;trophycam;B120100832;B;A;1;trail;trail;GBF;GBF;GBF DB;CER SS ?;N;0,570469975
259;368;382;OCPD38;-0,905635;-0,159971;0,221447;0,064413;-0,079002;-0,698134;-0,277879;-0,171954;-1,480325;-1,650544;-1,705296;-0,276328;-0,270365;-2,395487;-44,888498;-15,363245;PD;VPD;0;2015;Cer;trophycam;B140806742;C;C;0;N;N;GBF;GBF;GBF DB;CERR SS/RALO;N;0,821476996
260;369;383;OCPD39;-1,007321;-0,182575;0,873791;0,391515;0,362038;-0,357788;-0,436975;-0,171954;-1,611381;-1,530768;-1,532722;-0,128263;-0,150497;0,693396;-44,873931;-15,363291;PD;VPD;0;2015;Cer;trophycam;B130904560;B;A;0;N;N;GBF;GBF;GBF DB;CERR SS/RALO;N;0,799192011
261;370;384;OCPD40;-1,198811;-0,654139;-0,121143;-0,674818;-0,310621;-0,737257;2,04038;-0,171954;-0,730386;-0,872507;-0,668301;4,905925;4,637445;0,046886;-44,846066;-15,363027;PD;VPD;0;2015;Cer;trophycam;B100826313;A;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,399913013
262;371;385;OCPD41;-1,154877;-0,544649;-0,179635;-0,709499;-0,350167;-0,897074;3,154053;4,630343;-0,508746;-0,441073;-0,653408;-0,276328;-0,270365;1,411741;-44,845968;-15,376437;PD;VPD;0;2015;Cer;trophycam;B131200699;B;A;0;N;N;GBF;GBF;GBF DB;CER SS;NCF;0,349227011
263;372;386;OCPD42;-1,101284;-0,414023;1,071921;0,032558;0,495991;-0,44616;-0,436975;-0,171954;-0,494363;-0,774162;-1,154184;-0,276328;-0,270365;0,765231;-44,860339;-15,363241;PD;VPD;0;2015;Cer;trophycam;B140806204;C;C;0;N;N;GBF;GBF;GBF DB;CER SS;N;0,446500003
264;373;387;OCPD43;-0,950213;-0,042922;-0,917794;1,473872;-0,849225;-0,908083;-0,164239;-0,171954;-1,726527;-1,559805;-1,327285;0,019801;0,720545;-2,682825;-44,88769;-15,335952;PD;VPD;0;2015;Cer;trophycam;B101028484;A;A;0;N;N;GBF;GBF;GBF DB;CER SS;Y;0,639412999
265;374;388;OCPD44;-1,048415;-0,285077;-0,016552;0,907457;-0,239909;-0,59118;-0,164239;-0,171954;-1,233391;-1,303093;-1,286258;-0,276328;-0,270365;1,339907;-44,874215;-15,336056;PD;VPD;0;2015;Cer;trophycam;B120102688;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,60145998
266;375;389;OCPD45;-1,150422;-0,536607;0,544097;0,214834;0,139137;-0,506636;-0,436975;-0,171954;-0,48314;-0,860201;-1,050232;-0,202296;-0,218028;1,339907;-44,860211;-15,336042;PD;VPD;0;2015;Cer;trophycam;B131200426;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,65971899
267;376;390;OCPD46;-1,132868;-0,492732;0,963706;-0,031603;0,422828;-0,592422;-0,265846;-0,171954;-0,605809;-1,051114;-1,108606;-0,276328;-0,270365;1,268072;-44,860149;-15,349471;PD;VPD;0;2015;Cer;trophycam;B100815620;A;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,275528014
268;377;391;OCPD47;-1,032961;-0,246487;0,140416;0,707141;-0,133786;-0,529638;-0,436975;-0,171954;-1,355376;-1,43732;-1,39766;-0,202296;-0,217281;1,268072;-44,874132;-15,349536;PD;VPD;0;2015;Cer;trophycam;B120101324;B;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,674256027
269;378;392;OCPD48;-0,928362;0,011367;-0,93063;0,758046;-0,857903;-0,776284;-0,005142;-0,171954;-1,473488;-1,404361;-1,448226;-0,054231;-0,111112;1,268072;-44,888683;-15,349655;PD;VPD;0;2015;Cer;trophycam;B110307278;A;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,685137987
270;379;393;OCPD49;-0,682263;-0,389155;-0,676615;-0,924876;-0,686168;-0,944085;2,04038;1,7993;-0,678002;-0,799945;-1,029411;-0,276328;-0,270365;1,196238;-44,916175;-15,376763;PD;VPD;0;2015;Cer;trophycam;B100815579;A;A;1;carreiro;carreiro;GBF;GBF;GBF DB;CER SS;Y;0,475816995
271;380;394;OCPD50;-0,642336;0,263318;0,817648;-0,118202;0,324081;-0,506577;-0,436975;-0,171954;-1,460239;-1,804121;-1,612713;-0,202296;-0,217281;1,268072;-44,929847;-15,335741;PD;VPD;0;2015;Cer;trophycam;B131200703;B;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,696678996
272;381;395;OCPD51;-0,536251;0,190488;-0,207189;-0,725835;-0,368796;-0,427095;-0,436975;-0,171954;-1,020436;-1,444557;-1,581807;0,241898;0,101226;1,268072;-44,944335;-15,335983;PD;VPD;0;2015;Cer;trophycam;B110816641;A;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,617582977
273;382;396;OCPD52;-0,646336;0,492344;0,335622;-0,403999;-0,00181;-0,365233;-0,436975;-0,171954;-1,772521;-1,93178;-1,742505;1,500445;1,060708;1,052569;-44,929759;-15,32265;PD;VPD;0;2015;Cer;trophycam;B101013151;A;A;1;trail;trail;GBF;GBF;GBF MSP;CERR SS/RALO;Y;0,704344988
274;383;397;OCPD53;-0,847758;0,209725;-0,180956;1,244811;-0,35106;-0,844635;0,335778;-0,171954;-1,660116;-1,117131;-1,220601;1,500445;1,041134;1,124403;-44,901755;-15,335585;PD;VPD;0;2015;Cer;trophycam;B130904567;B;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,813024998
275;384;398;OCPD54;-0,747673;0,456379;0,90733;0,273186;0,384713;-0,578566;-0,201673;-0,171954;-1,52587;-1,412168;-1,554792;-0,276328;-0,270365;-2,467321;-44,915937;-15,322577;PD;VPD;0;2015;Cer;trophycam;B140926276;C;C;0;N;N;GBF;GBF;GBF MSP;CER SS ?;N;0,925073981
276;385;399;OCPD55;-0,845601;0,214867;0,751954;0,956913;0,279666;-0,599214;-0,201673;-0,171954;-1,010812;-1,008315;-1,335696;0,093833;0,002864;1,124403;-44,902581;-15,323005;PD;VPD;0;2015;Cer;trophycam;B131200441;B;A;1;trail;trail;GBF;GBF;GBF MSP;CER SS ?;N;0,633948028
277;386;400;OCPD56;-0,744709;0,311459;0,271345;0,567829;-0,045266;-0,855145;0,033629;0,89;-0,61932;-1,179688;-1,383367;-0,128263;-0,159442;1,052569;-44,915758;-15,336796;PD;VPD;0;2015;Cer;trophycam;B131200437;B;A;1;trail;trail;GBF;GBF;GBF MSP;CER SS;NCF;0,682618976
278;387;401;OCPD57;-0,730049;0,084235;-0,39103;0,261923;-0,493088;-0,854951;0,330727;1,381163;-1,048753;-1,113877;-1,195163;-0,128263;-0,161074;1,124403;-44,916157;-15,349727;PD;VPD;0;2015;Cer;trophycam;B110307295;A;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CERR SS/RALO;N;0,532361984
279;388;402;OCPD58;-0,715913;-0,152081;-1,210876;-0,346841;-1,047374;-0,812608;1,037821;-0,023467;-0,016528;-0,883212;-1,126102;-0,276328;-0,270365;1,124403;-44,915258;-15,363516;PD;VPD;0;2015;Cer;trophycam;B110307292;A;A;1;trail;trail;GBF;GBF;GBF MSP;VER;Y;0,00575283
280;389;403;OCPD59;-0,629508;0,018789;0,552166;-0,201153;0,144592;-0,509417;-0,436975;-0,171954;-1,111148;-1,27823;-1,380724;-0,202296;-0,205174;0,334224;-44,930043;-15,349713;PD;VPD;0;2015;Cer;trophycam;B131000482;B;A;1;carreiro;carreiro;GBF;GBF;GBF MSP;CER SS;Y;0,639190972
281;390;404;OCPD60;-0,964994;-1,168279;-1,124431;-1,269675;-0,988929;-0,915256;1,358539;-0,171954;0,392101;0,080405;-0,430565;0,908187;0,603967;1,124403;-44,846276;-15,417671;PD;VPD;0;2015;Cer;trophycam;B110816640;A;A;1;trail;trail;other;MJ;MJ DB;MC;Y;0,020505499
282;391;405;OCPD61;-1,053269;-0,297304;0,363207;0,95425;0,01684;-0,432898;-0,436975;-0,171954;-1,703061;-1,207557;-1,060995;0,019801;-0,058027;1,268072;-44,874256;-15,322614;PD;VPD;0;2015;Cer;trophycam;B120815259;B;A;1;carreiro;carreiro;other;MJ;MJ DB;CER SS;Y;0,707426012
283;392;406;OCPD62;-0,949321;-0,040936;0,270406;1,689678;-0,045902;-0,621809;-0,164239;-0,171954;-0,366874;-1,189579;-1,289201;1,500445;1,003662;1,268072;-44,888434;-15,322812;PD;VPD;0;2015;Cer;trophycam;B101014253;A;A;1;carreiro;carreiro;other;MJ;MJ DB;CER SS;Y;0,743574023
284;393;407;OCPD63;-1,160714;-0,562287;-0,532796;0,169068;-0,588934;-0,608246;-0,275353;-0,171954;-0,290614;-0,440209;-0,860391;-0,276328;-0,270365;-1,96448;-44,859602;-15,323031;PD;VPD;0;2015;Cer;trophycam;B110404056;A;A;1;carreiro;carreiro;other;MJ;MJ DB;CER;N;0,494183987
285;394;408;OCVB01;1,214615;0,723505;-0,784557;-0,502664;-0,759146;-0,781436;-0,141511;-0,03771;0,257723;0,117484;0,148604;-0,276328;-0,270365;0,549727;-45,205866;-15,212497;PD;VB;0;2016;Cer;agressor;B150801818;D;D;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,147551998
286;395;409;OCVB02;1,201669;0,908298;-0,89479;-1,133519;-0,833673;-0,939971;0,411538;0,179331;0,986437;0,07098;0,229811;1,130284;0,926285;0,477893;-45,205334;-15,225335;PD;VB;0;2016;Cer;trophycam;B120521018;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,080663599
287;396;410;OCVB03;1,174624;1,269611;0,025182;-0,588061;-0,211693;-0,733736;-0,096055;-0,171954;0,657243;0,482762;0,079063;-0,276328;-0,270365;0,406058;-45,205531;-15,251475;PD;VB;0;2016;Cer;trophycam;B121081918;B;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;N;0,240327001
288;397;411;OCVB04;1,077068;1,111024;-0,371171;-0,823062;-0,479662;-0,748259;0,858522;-0,171954;-0,56422;-0,130266;0,064389;0,019801;-0,014095;0,406058;-45,218943;-15,251178;PD;VB;0;2016;Cer;trophycam;B100826313;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,582827985
289;398;412;OCVB05;1,086797;0,936588;-1,122353;-1,268443;-0,987525;-0,995654;1,081792;1,219196;0,424328;0,219662;0,142047;-0,276328;-0,270365;0,406058;-45,219126;-15,238842;PD;VB;0;2016;Cer;trophycam;B120815259;B;A;0;N;N;other;MJ;MJ MSP;VER/MC;Y;0,393178999
290;399;413;OCVB06;1,187872;1,092469;-1,065376;-1,234661;-0,949003;-0,957622;0,222138;-0,096217;-0,69747;0,01324;0,034005;-0,202296;-0,206298;0,406058;-45,205259;-15,238499;PD;VB;0;2016;Cer;trophycam;B100815356;A;A;1;carreiro;carreiro;other;MJ;MJ MSP;CER SS;Y;0,542662024
