"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.000602415443717497,0.133012666924177,0.00452900808357522,0.996386386728056
"pa_type",0.000247867595904173,0.145680511488153,0.00170144649666699,0.998642442764281
"NDVImean_5",-6.09819554069816e-05,0.0723011252189654,-0.000843444071199399,0.999327029077481
"Dist_water",-0.000129850697599633,0.060527668157401,-0.00214531141794459,0.998288290454492
"Prob_fogo",0.000216535812975817,0.251395604893621,0.000861334918991304,0.999312754251434
