"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,306,7.95198413725064e-06,NA
"pa_type",1,3.51936344674899e-08,305,7.91679050278315e-06,0.999850317124224
"NDVImean_5",1,8.53269449231119e-08,304,7.83146355786004e-06,0.999766931729511
"Dist_water",1,4.54859052397542e-10,303,7.83100869880764e-06,0.999982983176961
"Prob_fogo",1,8.61905730718281e-08,302,7.74481812573581e-06,0.999765755210447
