"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.000163144081858775,0.12812161599857,0.00127335329473674,0.998984011340241
"pa_type",3.36887299598942e-05,0.139262593748123,0.000241907960014196,0.999806985375452
"NDVImean_5",-1.12327034477309e-05,0.0716067403348574,-0.000156866565845659,0.999874838589519
"Dist_water",-2.17462454597959e-05,0.0608819140075173,-0.000357187283190717,0.999715005787487
"Prob_fogo",1.70428353637656e-05,0.24724934879204,6.8929748236062e-05,0.999945002018146
