"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.000203554602352055,0.131770965822521,0.0015447606464858,0.998767459820232
"pa_type",4.15068134049247e-05,0.143494897756801,0.000289256371158727,0.999769206810557
"NDVImean_5",-2.45531583423642e-05,0.0710891332255434,-0.000345385535430075,0.999724422219235
"Dist_water",-1.67177920707763e-06,0.0598993754634622,-2.79097936187563e-05,0.999977731206579
"Prob_fogo",-7.25767822484947e-05,0.24721113372245,-0.000293582174700831,0.999765755318844
